"","fsdisability","HH6.x","HH7.x","HC0","HW1","HW3","HW2","HC8","WS1","WS3","WS7","WS11","helevel","melevel","windex5.y","CB3","CB7","CB11","PR3","FCD2F","FCD2G","FCD2I","FCD2J","FCD2K","FCF1","FCF2","FCF3","HL4","Refugee"
"49",2,2,25,12,1,1,1,1,11,NA,2,13,1,1,5,12,1,1,0,2,2,2,2,2,2,2,2,2,1
"50",2,2,25,12,5,NA,NA,1,11,NA,8,13,1,1,2,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"51",2,2,25,12,1,1,1,1,11,NA,2,13,1,1,3,15,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"52",2,2,25,12,1,1,1,1,11,NA,1,12,1,3,4,5,1,1,NA,2,2,2,2,2,2,2,2,2,3
"53",2,2,25,12,1,1,1,1,11,NA,2,12,1,1,5,11,1,1,3,2,2,2,2,2,2,2,2,1,3
"54",2,2,25,12,1,2,1,1,11,NA,2,12,1,1,4,17,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"55",2,2,25,12,1,1,1,1,11,NA,2,13,2,1,5,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"56",1,2,25,12,1,1,1,1,11,NA,2,13,3,3,5,6,NA,1,NA,2,2,2,2,2,2,2,1,1,3
"57",2,2,25,12,1,1,1,1,11,NA,2,13,1,1,5,12,1,1,0,1,1,2,1,2,2,2,2,1,3
"58",2,2,25,12,1,1,1,1,11,NA,2,13,1,1,5,11,1,2,0,1,2,2,2,2,2,2,2,2,3
"59",2,2,25,13,1,1,1,1,11,NA,2,12,2,1,4,12,1,2,0,2,2,2,2,2,2,2,2,2,3
"60",2,2,25,13,1,1,1,1,11,NA,2,13,2,3,5,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,1,1
"61",2,2,25,12,1,1,1,1,11,NA,2,13,3,3,5,5,1,1,NA,1,2,2,1,2,2,2,2,2,3
"62",2,2,25,13,1,1,1,1,11,NA,2,13,3,2,5,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"63",2,2,25,13,1,1,1,1,11,NA,2,14,2,3,4,9,1,1,0,2,2,2,2,2,2,2,2,2,3
"64",2,2,25,12,1,2,1,1,11,NA,2,12,3,3,5,10,1,1,0,2,2,2,2,2,2,2,2,1,3
"65",2,2,25,13,1,2,1,1,11,NA,2,12,1,2,4,5,1,1,NA,1,2,2,2,2,2,2,2,2,3
"66",2,2,25,13,1,1,1,1,11,NA,2,13,3,3,4,8,1,1,4,2,2,2,2,2,2,2,2,2,3
"67",2,2,25,12,1,1,1,1,11,NA,2,12,2,1,5,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"68",2,2,25,12,1,1,1,1,11,NA,2,13,3,3,4,5,NA,1,NA,1,2,2,1,2,2,2,2,1,3
"69",2,2,25,13,1,1,1,1,11,NA,2,12,2,2,4,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"70",2,2,25,13,1,1,1,1,11,NA,2,13,1,2,3,5,1,1,NA,1,2,2,1,2,2,2,2,1,1
"71",2,2,25,12,1,1,1,1,11,NA,2,12,1,3,2,11,1,1,0,2,2,2,2,2,2,2,2,1,3
"72",2,2,25,13,1,1,1,1,11,NA,2,12,3,1,5,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"73",2,2,25,13,1,1,1,1,11,NA,2,13,1,3,5,14,1,1,4,2,2,2,2,2,2,2,2,2,3
"74",2,2,25,12,1,1,1,2,11,NA,2,12,2,3,3,5,1,1,NA,2,2,2,2,2,2,2,2,2,3
"75",2,1,25,13,1,1,1,1,11,NA,2,12,1,1,3,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"76",2,1,25,13,1,1,1,1,11,NA,2,12,3,3,4,6,1,1,NA,2,2,2,2,2,2,2,2,1,3
"77",2,1,25,13,1,1,1,1,11,NA,2,13,2,3,4,9,1,1,0,1,2,2,2,2,1,2,2,2,3
"78",2,1,25,12,1,1,1,1,11,NA,2,13,2,3,3,8,1,1,10,2,2,2,2,2,2,2,2,2,3
"79",2,1,25,12,1,2,1,1,11,NA,2,12,3,2,3,17,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,3
"80",2,1,25,13,1,1,1,1,11,NA,2,12,3,3,3,9,1,1,2,2,2,2,2,2,2,2,2,2,3
"81",2,1,25,11,1,1,1,1,11,NA,2,13,2,3,5,9,1,1,5,1,2,1,1,2,2,2,2,1,3
"82",2,1,25,13,1,2,1,1,11,NA,2,12,1,2,3,11,1,1,0,1,2,2,2,2,2,2,2,1,3
"83",2,1,25,12,1,1,1,1,11,NA,2,13,1,3,5,14,1,1,0,2,2,2,2,2,2,2,2,2,3
"84",2,1,25,13,1,1,1,1,11,NA,2,13,1,1,5,13,1,1,0,2,2,2,2,2,2,2,2,1,1
"85",2,1,25,13,1,1,1,1,11,NA,2,12,3,2,3,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"86",2,1,25,13,1,1,1,1,11,NA,2,12,3,3,5,15,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,3
"87",2,1,25,12,1,1,1,1,11,NA,2,12,2,3,5,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"88",2,1,25,12,1,1,1,1,11,NA,2,13,2,1,3,8,1,1,0,2,1,2,1,2,2,2,2,1,3
"89",2,1,25,12,1,1,1,1,11,NA,2,12,2,2,5,14,1,1,0,2,2,2,2,2,2,2,2,1,3
"90",2,1,25,13,1,1,1,1,11,NA,2,12,1,1,5,14,1,2,0,2,2,2,2,2,2,2,2,1,3
"91",2,1,25,13,1,1,1,1,11,NA,2,13,3,3,4,6,1,2,NA,2,2,2,2,2,2,2,2,2,3
"92",2,1,25,13,1,1,1,1,11,NA,2,12,2,3,5,5,1,1,NA,1,2,1,1,2,2,2,2,1,1
"93",2,1,25,12,1,1,1,1,11,NA,2,12,1,2,4,10,1,2,0,1,2,2,1,2,2,2,2,1,3
"94",1,1,25,12,1,1,1,1,11,NA,2,13,3,3,5,16,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"95",2,1,25,13,1,1,1,1,11,NA,2,13,3,3,5,6,1,1,NA,1,2,1,2,2,2,2,2,2,3
"96",2,1,25,12,1,1,1,1,11,NA,2,12,2,2,5,17,2,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"97",2,1,25,12,1,1,1,1,11,NA,2,13,2,1,5,14,1,2,0,2,2,2,2,2,2,2,2,2,3
"98",2,1,25,12,1,1,1,1,11,NA,2,12,1,2,3,6,1,1,NA,2,1,2,1,2,2,2,2,1,3
"99",2,1,25,13,1,1,2,1,11,NA,2,13,3,1,3,16,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"100",2,1,25,12,1,1,1,1,11,NA,2,12,3,1,5,12,1,1,0,2,2,2,2,2,2,2,2,1,3
"101",2,1,25,12,1,1,1,1,11,NA,2,12,3,3,4,6,1,2,NA,1,2,2,2,2,2,2,2,2,3
"102",2,1,25,12,1,1,1,1,11,NA,2,12,3,3,5,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"103",1,1,25,12,1,1,1,1,11,NA,2,12,1,3,4,5,1,1,NA,2,2,2,2,2,2,2,2,2,3
"104",2,1,25,12,1,1,1,1,11,NA,2,13,3,3,5,6,1,1,NA,2,2,2,2,1,2,2,2,1,3
"105",2,1,25,13,1,1,1,1,11,NA,2,12,2,1,5,11,1,1,1,2,2,2,2,2,2,2,2,1,1
"106",2,1,25,12,1,1,1,1,11,NA,2,13,2,3,5,14,1,1,0,2,2,2,2,2,2,2,2,1,3
"107",2,1,25,12,1,1,1,1,11,NA,2,13,3,3,4,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"108",2,1,25,12,1,1,1,1,11,NA,2,13,2,3,3,7,1,1,3,2,2,2,2,2,2,2,2,2,3
"109",2,1,25,13,1,1,1,1,11,NA,2,13,2,2,5,12,1,1,4,2,2,2,2,2,2,2,2,2,3
"110",2,1,25,12,1,1,1,1,11,NA,2,12,2,1,5,9,1,1,0,2,2,2,2,2,2,2,2,2,3
"111",2,1,25,12,1,1,1,1,11,NA,2,13,2,1,3,10,1,1,0,2,2,2,2,2,2,2,2,2,3
"112",2,1,25,13,1,1,1,1,11,NA,2,12,2,3,5,10,1,1,5,1,2,2,1,2,2,2,2,2,3
"113",2,1,25,11,1,1,1,1,11,NA,2,13,1,2,5,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"114",2,1,25,12,1,1,1,1,11,NA,2,12,3,3,5,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"115",2,1,25,13,1,1,1,1,11,NA,2,13,3,3,4,5,1,2,NA,2,2,2,2,2,2,2,2,2,3
"116",2,2,30,12,1,1,1,1,11,NA,2,13,3,3,3,6,1,2,NA,1,2,2,2,2,2,2,2,1,3
"117",2,2,30,12,1,1,1,1,11,NA,2,12,3,3,5,7,1,1,5,1,2,2,1,2,2,2,2,2,3
"118",2,2,30,12,1,1,1,1,11,NA,2,13,3,2,3,7,1,1,5,1,2,1,1,2,2,2,2,2,3
"119",2,2,30,12,1,1,1,1,11,NA,2,13,3,1,4,16,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,3
"120",2,2,30,12,1,1,1,1,11,NA,2,13,1,3,4,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"121",2,2,30,12,1,1,1,1,11,NA,2,12,2,1,5,10,1,1,0,2,2,2,2,2,2,2,2,1,3
"122",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,5,6,1,1,NA,2,2,2,2,2,2,2,2,2,3
"123",2,2,30,12,1,1,1,1,93,NA,2,13,2,3,5,14,1,1,0,2,2,2,2,2,2,2,2,2,3
"124",2,2,30,12,4,NA,NA,1,11,NA,2,13,1,1,3,10,1,1,0,1,2,1,2,2,2,2,2,1,3
"125",2,2,30,12,1,1,1,2,11,NA,2,13,1,2,2,8,1,1,0,2,2,1,2,2,2,2,2,1,3
"126",2,2,30,12,1,1,1,1,11,NA,2,12,1,3,4,7,1,1,0,2,2,2,2,2,2,2,2,1,3
"127",1,2,30,12,4,NA,NA,1,11,NA,2,12,3,3,5,10,1,1,0,2,2,1,2,2,2,2,2,2,3
"128",2,2,30,12,1,1,1,1,11,NA,2,13,2,1,3,14,1,1,0,2,2,2,2,2,2,2,2,2,3
"129",2,2,30,12,1,1,1,1,11,NA,2,11,1,3,5,13,1,1,0,1,2,2,1,2,2,2,2,1,3
"130",2,1,30,12,4,NA,NA,1,11,NA,2,12,1,2,3,14,1,1,4,2,2,2,2,2,1,2,2,1,3
"131",2,1,30,12,1,1,1,1,11,NA,2,13,3,1,5,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"132",1,1,30,12,1,1,1,1,11,NA,2,13,1,1,2,7,1,1,0,1,1,1,1,2,2,2,2,2,3
"133",2,1,30,12,1,1,1,1,11,NA,2,13,1,1,4,16,2,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"134",2,1,30,12,1,1,2,1,11,NA,2,12,1,1,4,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"135",1,1,30,12,1,1,1,1,11,NA,2,13,1,1,4,10,1,2,0,1,2,2,1,2,2,2,2,1,3
"136",2,1,30,12,1,1,1,1,11,NA,2,12,1,1,4,15,1,1,NA,NA,NA,NA,NA,NA,1,2,2,1,3
"137",2,1,30,12,1,1,1,1,11,NA,2,12,1,1,3,13,1,2,0,1,2,2,1,2,2,2,2,2,3
"138",1,1,30,12,1,1,1,1,11,NA,2,13,1,2,3,16,1,1,NA,NA,NA,NA,NA,NA,1,2,2,2,3
"139",2,1,30,12,5,NA,NA,1,11,NA,2,13,1,1,2,6,1,1,NA,1,2,2,1,2,2,2,2,1,3
"140",2,1,30,13,1,1,1,1,11,NA,2,12,2,2,5,10,1,2,10,1,1,1,1,2,2,2,2,1,3
"141",1,1,30,13,1,1,1,1,11,NA,2,13,2,3,3,13,1,1,4,1,1,2,1,2,1,2,2,2,3
"142",2,1,30,13,1,1,1,1,91,NA,1,12,2,3,4,11,1,2,0,2,2,2,2,2,2,2,2,2,3
"143",2,1,30,12,1,1,1,1,11,NA,2,12,1,1,5,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"144",2,1,30,12,1,1,1,1,11,NA,2,12,1,1,3,9,1,1,2,2,2,2,2,2,2,2,2,1,3
"145",2,1,30,13,4,NA,NA,1,11,NA,2,14,2,2,4,12,1,1,4,2,2,2,2,2,2,2,2,1,3
"146",2,1,30,12,1,1,1,1,11,NA,2,12,3,2,3,9,1,1,1,2,1,1,1,2,2,2,2,1,3
"147",1,1,30,12,1,1,1,1,11,NA,2,12,1,1,3,12,NA,1,0,2,2,2,1,2,2,2,2,1,3
"148",1,2,30,13,1,1,1,1,11,NA,2,13,1,2,3,7,1,1,6,1,2,2,2,2,2,2,2,1,3
"149",2,2,30,12,1,1,1,1,11,NA,2,12,2,3,5,5,1,1,NA,2,2,2,2,2,2,2,2,1,3
"150",2,2,30,13,1,1,1,1,11,NA,2,12,3,3,4,10,1,1,0,2,2,2,2,2,2,2,2,1,3
"151",1,2,30,13,1,1,1,1,11,NA,2,13,1,1,4,5,1,2,NA,2,2,2,2,2,2,2,1,1,3
"152",2,2,30,13,1,1,1,1,11,NA,2,13,1,2,5,9,1,2,10,1,2,2,2,2,2,2,2,1,3
"153",1,2,30,13,1,1,1,1,11,NA,2,12,1,1,3,6,1,1,NA,1,2,2,1,2,2,2,2,1,3
"154",2,2,30,13,1,1,1,1,11,NA,2,12,3,1,3,5,1,2,NA,2,2,2,2,2,2,2,2,2,3
"155",2,2,30,13,1,1,1,1,11,NA,2,13,1,2,4,11,1,1,0,2,2,2,2,2,1,1,2,2,3
"156",1,2,30,12,1,1,1,1,11,NA,2,13,3,1,4,16,1,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"157",2,2,30,12,1,1,1,1,11,NA,1,13,2,1,2,13,1,1,2,2,2,2,2,2,2,2,2,2,1
"158",2,2,30,13,1,1,1,1,11,NA,2,13,3,3,3,8,1,1,5,1,2,2,2,2,2,2,2,1,3
"159",2,2,1,12,1,1,1,1,61,NA,2,13,3,2,2,6,1,1,NA,1,2,2,1,2,2,2,2,1,3
"160",2,2,1,12,1,1,1,1,21,3,1,13,1,1,2,14,1,2,0,2,2,2,2,2,2,2,2,2,3
"161",2,2,1,13,1,1,1,1,21,3,2,13,1,1,5,12,1,2,0,2,2,2,1,2,2,2,2,2,3
"162",1,2,1,12,1,1,1,1,21,3,2,13,1,1,2,15,2,1,NA,NA,NA,NA,NA,NA,2,2,1,1,3
"163",2,2,1,12,1,1,1,1,21,1,2,13,1,3,3,5,1,2,NA,1,2,1,1,2,2,2,2,2,3
"164",2,2,1,12,1,1,1,1,21,3,2,13,1,1,3,17,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"165",2,2,1,12,1,1,1,1,61,NA,2,13,3,3,4,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"166",2,2,1,12,1,1,1,1,61,NA,2,13,2,2,4,10,1,2,0,2,2,2,2,2,2,2,2,2,3
"167",2,2,1,12,1,1,1,1,41,3,2,13,2,1,2,11,1,1,4,2,2,2,2,2,2,2,2,1,3
"168",2,2,1,12,1,1,1,1,51,1,2,13,2,3,3,8,1,1,1,2,2,2,2,2,2,2,2,1,3
"169",2,2,1,12,2,1,1,1,41,3,2,13,2,2,4,6,1,1,NA,1,2,2,2,2,2,2,2,1,3
"170",2,2,1,12,1,1,1,1,41,1,2,13,2,1,3,13,1,2,0,2,2,2,2,2,2,2,2,1,3
"171",2,2,1,13,1,1,1,1,61,NA,2,12,1,3,3,13,1,1,0,1,2,2,2,2,2,2,2,1,3
"172",2,2,1,12,1,1,1,1,21,3,2,13,3,1,3,5,1,2,NA,1,1,2,1,2,2,2,2,2,3
"173",1,2,30,15,4,NA,NA,2,61,NA,1,95,1,1,1,11,1,2,99,1,2,1,1,2,2,2,2,1,1
"174",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,3,12,1,1,0,2,2,2,2,2,2,2,2,1,3
"175",2,2,30,12,1,1,1,1,11,NA,2,13,2,2,2,11,1,2,0,2,2,1,1,2,2,2,2,2,3
"176",2,2,30,12,1,1,1,1,11,NA,2,14,2,2,5,6,1,2,NA,2,2,2,2,2,2,2,2,1,3
"177",2,2,30,12,1,1,1,1,11,NA,2,13,2,2,4,6,1,1,NA,1,2,2,1,2,2,2,2,2,3
"178",2,2,30,14,4,NA,NA,1,11,NA,2,13,1,1,1,7,1,2,0,1,2,2,2,2,2,2,2,1,3
"179",2,2,30,12,1,1,1,1,11,NA,2,14,2,1,5,14,1,1,0,2,2,2,2,2,2,2,2,1,3
"180",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,3,16,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"181",2,2,30,12,1,1,1,1,11,NA,2,13,2,1,5,17,1,1,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"182",2,2,30,12,1,1,1,1,11,NA,2,13,2,1,3,12,1,2,0,1,1,2,1,2,2,2,2,2,3
"183",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,4,15,1,2,NA,NA,NA,NA,NA,NA,2,2,2,1,3
"184",2,2,30,12,1,1,1,1,11,NA,2,13,2,1,4,14,1,1,0,2,2,2,2,2,2,2,2,2,3
"185",2,2,30,12,1,1,1,1,11,NA,2,13,2,2,3,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"186",2,2,30,13,1,1,1,1,11,NA,2,13,3,2,5,14,1,1,5,2,2,2,1,2,2,2,2,2,3
"187",2,2,30,12,1,1,1,1,11,NA,2,13,3,2,5,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"188",2,2,30,12,1,1,1,1,11,NA,2,13,2,3,5,6,1,2,NA,2,2,2,2,2,2,2,2,1,3
